timestamp_iso,elapsed_s,device_id,page,page_name,instantaneous_power_w,average_power_w,cadence_rpm,left_power_w,right_power_w,torque_nm,angular_velocity_rad_s,raw_bytes_hex
2026-08-25T17:58:48.222,0.0,9999,16,standard_power,180,180,70,,,24.555,7.3304,10 01 FF 46 B4 00 B4 00
2026-08-25T17:58:48.222,0.25,9999,16,standard_power,189,189,71,,,25.42,7.4351,10 02 FF 47 71 01 BD 00
2026-08-25T17:58:48.222,0.5,9999,16,standard_power,196,196,72,,,25.995,7.5398,10 03 FF 48 35 02 C4 00
2026-08-25T17:58:48.222,0.75,9999,16,standard_power,200,200,74,,,25.809,7.7493,10 04 FF 4A FD 02 C8 00
2026-08-25T17:58:48.222,1.0,9999,16,standard_power,201,201,75,,,25.592,7.854,10 05 FF 4B C6 03 C9 00
2026-08-25T17:58:48.222,1.25,9999,16,standard_power,198,198,76,,,24.878,7.9587,10 06 FF 4C 8C 04 C6 00
2026-08-25T17:58:48.222,1.5,9999,16,standard_power,194,194,78,,,23.751,8.1681,10 07 FF 4E 4E 05 C2 00
2026-08-25T17:58:48.222,1.75,9999,16,standard_power,188,188,79,,,22.725,8.2729,10 08 FF 4F 0A 06 BC 00
2026-08-25T17:58:48.222,2.0,9999,16,standard_power,184,184,80,,,21.963,8.3776,10 09 FF 50 C2 06 B8 00
2026-08-25T17:58:48.222,2.25,9999,16,standard_power,183,183,81,,,21.574,8.4823,10 0A FF 51 79 07 B7 00
2026-08-25T17:58:48.222,2.5,9999,16,standard_power,185,185,82,,,21.544,8.587,10 0B FF 52 32 08 B9 00
2026-08-25T17:58:48.222,2.75,9999,16,standard_power,191,191,83,,,21.975,8.6917,10 0C FF 53 F1 08 BF 00
2026-08-25T17:58:48.222,3.0,9999,16,standard_power,199,199,84,,,22.623,8.7965,10 0D FF 54 B8 09 C7 00
2026-08-25T17:58:48.222,3.25,9999,16,standard_power,208,208,84,,,23.646,8.7965,10 0E FF 54 88 0A D0 00
2026-08-25T17:58:48.222,3.5,9999,16,standard_power,217,217,85,,,24.379,8.9012,10 0F FF 55 61 0B D9 00
2026-08-25T17:58:48.222,3.75,9999,16,standard_power,223,223,86,,,24.762,9.0059,10 10 FF 56 40 0C DF 00
2026-08-25T17:58:48.222,4.0,9999,16,standard_power,225,225,86,,,24.984,9.0059,10 11 FF 56 21 0D E1 00
2026-08-25T17:58:48.222,4.25,9999,16,standard_power,224,224,86,,,24.873,9.0059,10 12 FF 56 01 0E E0 00
2026-08-25T17:58:48.222,4.5,9999,16,standard_power,220,220,87,,,24.148,9.1106,10 13 FF 57 DD 0E DC 00
2026-08-25T17:58:48.222,4.75,9999,16,standard_power,215,215,87,,,23.599,9.1106,10 14 FF 57 B4 0F D7 00
